token	case	degree	gend	lemma	mood	num	pers	pos	tense	voice	treated
ἐγείνατο	-	-	-	γείνομαι	-	s	-	v	-	-	ἐγείνατο
παῖδα	-	-	-	παῖς	-	s	-	n	-	-	παῖδα
πολύτροπον	-	-	-	πολύτροπος	-	s	-	a	-	-	πολύτροπον
,	-	-	-	,	-	-	-	u	-	-	,
αἱμυλομήτην	-	-	-	αἱμυλομήτης	-	s	-	a	-	-	αἱμυλομήτην
,	-	-	-	,	-	-	-	u	-	-	,
ληιστῆρ	-	-	-	λῃστήρ	-	s	-	n	-	-	ληιστῆρ
᾽	-	-	-	̓	-	-	-	u	-	-	 ̓
,	-	-	-	,	-	-	-	u	-	-	,
ἐλατῆρα	-	-	-	ἐλατήρ	-	s	-	n	-	-	ἐλατῆρα
βοῶν	-	-	-	βοῦς	-	s	-	n	-	-	βοῶν
,	-	-	-	,	-	-	-	u	-	-	,
ἡγήτορ	-	-	-	ἡγήτωρ	-	s	-	n	-	-	ἡγήτορ
᾽	-	-	-	̓	-	-	-	u	-	-	 ̓
ὀνείρων	-	-	m	ὄνειρος	-	s	-	n	-	-	ὀνείρων
,	-	-	-	,	-	-	-	u	-	-	,
15νυκτὸς	-	-	-		-	s	-	a	-	-	15νυκτὸς
ὀπωπητῆρα	-	-	-	ὀπωπητήρ	-	s	-	n	-	-	ὀπωπητῆρα
,	-	-	-	,	-	-	-	u	-	-	,
πυληδόκον	-	-	-	πυληδόκος	-	s	-	a	-	-	πυληδόκον
,	-	-	-	,	-	-	-	u	-	-	,
ὃς	-	-	-	ὅς	-	s	-	p	-	-	ὃς
τάχ	-	-	-	τάχα	-	-	-	p	-	-	τάχ
᾽	-	-	-	̓	-	-	-	-	-	-	 ̓
ἔμελλεν	-	-	-	μέλλω	-	s	-	v	-	-	ἔμελλεν
ἀμφανέειν	-	-	-	ἀμφανέω	-	-	-	v	-	-	ἀμφανέειν
κλυτὰ	-	-	-	κλυτός	-	p	-	a	-	-	κλυτὰ
ἔργα	-	-	n	ἔργον	-	p	-	n	-	-	ἔργα
μετ	-	-	-	μετά	-	-	-	p	-	-	μετ
᾽	-	-	-	̓ ̓	-	-	-	u	-	-	 ̓
ἀθανάτοισι	-	-	m	ἀθάνατος	-	p	-	a	-	-	ἀθανάτοισι
θεοῖσιν	-	-	m	θεός	-	p	-	n	-	-	θεοῖσιν
.	-	-	-	.	-	-	-	u	-	-	.
ἠῷος	-	-	-	ἠῷος	-	s	-	n	-	-	ἠῷος
γεγονὼς	n	-	m	γίγνομαι	-	s	-	v	-	a	γεγονὼς
μέσῳ	-	-	m	μέσος	-	s	-	a	-	-	μέσῳ
ἤματι	-	-	n	ἦμαρ	-	s	-	n	-	-	ἤματι
ἐγκιθάριζεν	-	-	-	ἐγκιθαρίζω	-	s	-	v	-	-	ἐγκιθάριζεν
,	-	-	-	,	-	s	-	n	-	-	,
ἑσπέριος	-	-	m	ἑσπέριος	-	s	-	a	-	-	ἑσπέριος
βοῦς	-	-	m	βοῦς	-	s	-	n	-	-	βοῦς
κλέψεν	-	-	-	κλέπτω	-	s	-	v	-	-	κλέψεν
ἑκηβόλου	-	-	m	ἑκηβόλος	-	s	-	a	-	-	ἑκηβόλου
Ἀπόλλωνος	-	-	m	Ἀπόλλων	-	s	-	n	-	-	Ἀπόλλωνος
τετράδι	-	-	f	τετράς	-	s	-	n	-	-	τετράδι
τῇ	-	-	f	ὁ	-	s	-	d	-	-	τῇ
προτέρῃ	-	-	f	πρότερος	-	s	-	a	-	-	προτέρῃ
,	-	-	-	,	-	s	-	u	-	-	,
τῇ	-	-	f	ὁ	-	s	-	p	-	-	τῇ
μιν	-	-	f	μιν	-	s	-	p	-	-	μιν
τέκε	-	-	-	τίκτω	-	s	-	v	-	-	τέκε
πότνια	n	-	f	πότνια	-	s	-	n	-	-	πότνια
Μαῖα	-	-	f	Μαῖα	-	s	-	n	-	-	Μαῖα
.	-	-	-	.	-	-	-	u	-	-	.
20ὃς	-	-	-	ἀμός	-	s	-	p	-	-	20ὃς
καί	-	-	-	καί	-	-	-	c	-	-	καί
,	-	-	-	,	-	-	-	u	-	-	,
ἐπειδὴ	-	-	-	ἐπεί	-	-	-	c	-	-	ἐπειδὴ
μητρὸς	-	-	-	μήτηρ	-	s	-	n	-	-	μητρὸς
ἀπ	-	-	-	ἀπό	-	-	-	-	-	-	ἀπ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἀθανάτων	-	-	-	ἀθάνατος	-	-	-	a	-	-	ἀθανάτων
θόρε	-	-	-	θρέος	-	s	-	v	-	-	θόρε
γυίων	-	-	-	γυῖος	-	s	-	a	-	-	γυίων
,	-	-	-	,	-	-	-	u	-	-	,
οὐκέτι	-	-	-	οὐκέτι	-	-	-	d	-	-	οὐκέτι
δηρὸν	-	-	-	δηρός	-	s	-	a	-	-	δηρὸν
ἔκειτο	-	-	-	κεῖμαι	-	s	-	v	-	-	ἔκειτο
μένων	-	-	m	μένω	-	s	-	v	-	-	μένων
ἱερῷ	-	-	m	ἱερός	-	s	-	n	-	-	ἱερῷ
ἐνὶ	-	-	-	ἐν	-	-	-	v	-	-	ἐνὶ
λίκνῳ	-	-	-	λίκνος	-	s	-	n	-	-	λίκνῳ
,	-	-	-	,	-	-	-	u	-	-	,
ἀλλ	-	-	-	ἀλλά	-	-	-	a	-	-	ἀλλ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὅ	-	-	m	ὅς	-	s	-	p	-	-	ὅ
γ	-	-	-	γε	-	-	-	n	-	-	γ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἀναΐξας	n	-	m	ἀναίσσω	-	s	-	v	-	-	ἀναΐξας
ζήτει	-	-	-	ζητέω	-	s	-	v	-	-	ζήτει
βόας	-	-	m	βοῦς	-	s	-	n	-	-	βόας
Ἀπόλλωνος	-	-	m	Ἀπόλλων	-	s	-	n	-	-	Ἀπόλλωνος
οὐδὸν	-	-	m	οὐδός	-	s	-	n	-	-	οὐδὸν
ὑπερβαίνων	n	-	m	ὑπερβαίνω	-	s	-	v	-	-	ὑπερβαίνων
ὑψηρεφέος	g	-	m	ὑψηρεφής	-	s	-	a	-	-	ὑψηρεφέος
ἄντροιο	-	-	m	ἄντρον	-	s	-	a	-	-	ἄντροιο
.	-	-	-	.	-	-	-	u	-	-	.
ἔνθα	-	-	-	ἔνθα	-	-	-	d	-	-	ἔνθα
χέλυν	a	-	m	χέλυς	-	s	-	n	-	-	χέλυν
εὑρὼν	n	-	m	εὑρίσκω	-	s	-	v	-	-	εὑρὼν
ἐκτήσατο	-	-	-	κτάομαι	-	s	-	v	-	-	ἐκτήσατο
μυρίον	a	-	m	μυρίος	-	s	-	a	-	-	μυρίον
ὄλβον	a	-	m	ὄλβος	-	s	-	n	-	-	ὄλβον
:	-	-	-	:	-	-	-	n	-	-	:
25Ἑρμῆς	-	-	-	ὁριρμή	-	s	-	n	-	-	25Ἑρμῆς
τοι	-	-	-	σύ	-	s	-	p	-	-	τοι
πρώτιστα	a	-	-	πρώτιστος	-	-	-	a	-	-	πρώτιστα
χέλυν	a	-	-	χέλυς	-	s	-	n	-	-	χέλυν
τεκτήνατ	-	-	-	τεκταίνομαι	-	s	-	v	-	-	τεκτήνατ
᾽	-	-	-	̓ ̓	-	s	-	-	-	-	 ̓
ἀοιδόν	-	-	m	ἀοιδός	-	s	-	n	-	-	ἀοιδόν
:	-	-	-	:	-	-	-	n	-	-	:
ἥ	-	-	-	ὅς	-	s	-	p	-	-	ἥ
ῥά	-	-	-	ἄρα	-	-	-	-	-	-	ῥά
οἱ	-	-	m	ὁ	-	s	-	p	-	-	οἱ
ἀντεβόλησεν	-	-	-	ἀντιβολέω	-	s	-	v	-	-	ἀντεβόλησεν
ἐπ	-	-	-	ἐπί	-	-	-	n	-	-	ἐπ
᾽	-	-	-	̓ ̓	-	-	-	n	-	-	 ̓
αὐλείῃσι	-	-	f	αὔλειος	-	p	-	n	-	-	αὐλείῃσι
θύρῃσι	-	-	f	θύρα	-	p	-	n	-	-	θύρῃσι
βοσκομένη	-	-	f	βόσκω	-	s	-	v	-	-	βοσκομένη
προπάροιθε	-	-	-	προπάροιθε	-	-	-	v	-	-	προπάροιθε
δόμων	-	-	m	δόμος	-	s	-	n	-	-	δόμων
ἐριθηλέα	-	-	f	ἐριθηλής	-	s	-	n	-	-	ἐριθηλέα
ποίην	-	-	f	πόα	-	s	-	n	-	-	ποίην
,	-	-	-	,	-	-	-	n	-	-	,
σαῦλα	-	-	-	σαῦλος	-	s	-	n	-	-	σαῦλα
ποσὶν	-	-	m	πούς	-	s	-	n	-	-	ποσὶν
βαίνουσα	-	-	-	βαίνω	-	s	-	v	-	-	βαίνουσα
:	-	-	-	:	-	-	-	n	-	-	:
Διὸς	-	-	m	Ζεύς	-	s	-	n	-	-	Διὸς
δ	-	-	-	δέ	-	-	-	n	-	-	δ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἐριούνιος	-	-	m	ἐριούνιος	-	s	-	n	-	-	ἐριούνιος
υἱὸς	-	-	m	υἱός	-	s	-	n	-	-	υἱὸς
ἀθρήσας	-	-	m	ἀθρέω	-	s	-	v	-	-	ἀθρήσας
ἐγέλασσε	-	-	-	γελάω	-	s	-	v	-	-	ἐγέλασσε
καὶ	-	-	-	καί	-	-	-	d	-	-	καὶ
αὐτίκα	-	-	-	αὐτίκα	-	-	-	d	-	-	αὐτίκα
μῦθον	-	-	m	μῦθος	-	s	-	n	-	-	μῦθον
ἔειπε	-	-	-	εἶπον	-	s	-	v	-	-	ἔειπε
:	-	-	-	:	-	-	-	u	-	-	:
30σύμβολον	-	-	-		-	s	-	a	-	-	30σύμβολον
ἤδη	-	-	-	ἤδη	-	-	-	d	-	-	ἤδη
μοι	-	-	-	ἐγώ	-	s	-	p	-	-	μοι
μέγ	-	-	-	μέγας	-	-	-	p	-	-	μέγ
᾽	-	-	-	̓	-	-	-	u	-	-	 ̓
ὀνήσιμον	-	-	-	ὀνήσιμος	-	s	-	a	-	-	ὀνήσιμον
:	-	-	-	:	-	-	-	u	-	-	:
οὐκ	-	-	-	οὐ	-	-	-	d	-	-	οὐκ
ὀνοτάζω	-	-	-	ὀνοτάζω	-	s	-	v	-	-	ὀνοτάζω
.	-	-	-	.	-	-	-	u	-	-	.
χαῖρε	-	-	-	χαίρω	-	s	-	v	-	-	χαῖρε
,	-	-	-	,	-	-	-	u	-	-	,
φυὴν	-	-	-	φυή	-	s	-	n	-	-	φυὴν
ἐρόεσσα	-	-	-	ἐρόεις	-	s	-	a	-	-	ἐρόεσσα
,	-	-	-	,	-	-	-	u	-	-	,
χοροιτύπε	-	-	-	χοροιτύπω	-	s	-	a	-	-	χοροιτύπε
,	-	-	-	,	-	-	-	u	-	-	,
δαιτὸς	-	-	-	δαίτης	-	s	-	n	-	-	δαιτὸς
ἑταίρη	n	-	f	ἑταίρα	-	s	-	n	-	-	ἑταίρη
,	-	-	-	,	-	-	-	u	-	-	,
ἀσπασίη	n	-	-	ἀσπάσιος	-	s	-	a	-	-	ἀσπασίη
προφανεῖσα	n	-	f	προφαίνω	-	s	-	v	-	-	προφανεῖσα
:	-	-	-	:	-	-	-	u	-	-	:
πόθεν	-	-	-	πόθεν	-	-	-	a	-	-	πόθεν
τόδε	a	-	-	ὅδε	-	s	-	a	-	-	τόδε
καλὸν	a	-	n	καλός	-	s	-	a	-	-	καλὸν
ἄθυρμα	a	-	-	ἄθυρμα	-	s	-	a	-	-	ἄθυρμα
αἰόλον	a	-	n	αἰόλος	-	s	-	a	-	-	αἰόλον
ὄστρακον	-	-	n	ὄστρακον	-	s	-	n	-	-	ὄστρακον
ἕσσο	-	-	-	ἕννυμι	-	s	-	v	-	-	ἕσσο
χέλυς	-	-	-	χέλυς	-	s	-	n	-	-	χέλυς
ὄρεσι	-	-	n	ὄρος	-	s	-	v	-	-	ὄρεσι
ζώουσα	-	-	-	ζώω	-	s	-	v	-	-	ζώουσα
;	-	-	-	;	-	-	-	v	-	-	;
ἀλλ	-	-	-	ἀλλά	-	-	-	-	-	-	ἀλλ
᾽	-	-	-	̓ ̓	-	s	-	-	-	-	 ̓
οἴσω	-	-	-	φέρω	-	s	-	v	-	-	οἴσω
σ	-	-	-	σύ	-	s	-	v	-	-	σ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἐς	-	-	-	εἰς	-	-	-	-	-	-	ἐς
δῶμα	-	-	-	δῶμα	-	s	-	n	-	-	δῶμα
λαβών	-	-	-	λαμβάνω	-	s	-	v	-	-	λαβών
:	-	-	-	:	-	-	-	u	-	-	:
ὄφελός	-	-	-	ὄφελος	-	s	-	n	-	-	ὄφελός
τι	-	-	-	τις	-	s	-	p	-	-	τι
μοι	-	-	-	ἐγώ	-	s	-	p	-	-	μοι
ἔσσῃ	-	-	-	εἰμί	-	s	-	v	-	-	ἔσσῃ
,	-	-	-	,	-	-	-	u	-	-	,
35οὐδ	-	-	-	οὐδέ	-	s	-	p	-	-	35οὐδ
᾽	-	-	-	̓ ̓	-	-	-	p	-	-	 ̓
ἀποτιμήσω	-	-	-	ἀποτιμάω	-	s	-	v	-	-	ἀποτιμήσω
:	-	-	-	:	-	-	-	u	-	-	:
σὺ	-	-	-	σύ	-	s	-	p	-	-	σὺ
δέ	-	-	-	δέ	-	-	-	p	-	-	δέ
με	-	-	-	ἐγώ	-	s	-	p	-	-	με
πρώτιστον	-	-	-	πρώτιστος	-	s	-	a	-	-	πρώτιστον
ὀνήσεις	-	-	-	ὀνίνημι	-	s	-	v	-	-	ὀνήσεις
3	-	-	-	ἔ	-	-	-	u	-	-	3
οἴκοι	-	-	-	οἴκοι	-	-	-	d	-	-	οἴκοι
βέλτερον	-	-	-	βέλτερος	-	s	-	a	-	-	βέλτερον
εἶναι	-	-	-	εἰμί	-	-	-	v	-	-	εἶναι
,	-	-	-	,	-	-	-	u	-	-	,
ἐπεὶ	-	-	-	ἐπεί	-	-	-	d	-	-	ἐπεὶ
βλαβερὸν	-	-	-	βλαβερός	-	s	-	a	-	-	βλαβερὸν
τὸ	-	-	-	ὁ	-	s	-	a	-	-	τὸ
θύρηφιν	-	-	-	θύρα	-	-	-	d	-	-	θύρηφιν
:	-	-	-	:	-	-	-	u	-	-	:
ἦ	-	-	-	ἦ	-	s	-	d	-	-	ἦ
γὰρ	-	-	-	γάρ	-	-	-	d	-	-	γὰρ
ἐπηλυσίης	-	-	-	ἐπηλυσία	-	s	-	n	-	-	ἐπηλυσίης
πολυπήμονος	-	-	-	πολυπήμων	-	s	-	n	-	-	πολυπήμονος
ἔσσεαι	-	-	-	εἰμί	-	s	-	v	-	-	ἔσσεαι
ἔχμα	-	-	-	ἔχμα	-	s	-	n	-	-	ἔχμα
ζώουσ	-	-	-	ζώω	-	s	-	v	-	-	ζώουσ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
:	-	-	-	:	-	-	-	u	-	-	:
ἢν	-	-	-	ἐάν	-	-	-	d	-	-	ἢν
δὲ	-	-	-	δέ	-	-	-	d	-	-	δὲ
θάνῃς	-	-	-	θνήσκω	-	-	-	v	-	-	θάνῃς
,	-	-	-	,	-	-	-	u	-	-	,
τότε	-	-	-	τότε	-	-	-	d	-	-	τότε
κεν	-	-	-	ἄν	-	-	-	d	-	-	κεν
μάλα	-	-	-	μάλα	-	-	-	d	-	-	μάλα
καλὸν	-	-	-	καλός	-	s	-	d	-	-	καλὸν
ἀείδοις	-	-	-	ἀείδω	-	s	-	v	-	-	ἀείδοις
.	-	-	-	.	-	-	-	u	-	-	.
ὣς	-	-	-	ὡς	-	-	-	d	-	-	ὣς
ἂρ	-	-	-	ἄρα	-	-	-	-	-	-	ἂρ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἔφη	-	-	-	φημί	-	s	-	v	-	-	ἔφη
:	-	-	-	:	-	-	-	u	-	-	:
καὶ	-	-	-	καί	-	-	-	c	-	-	καὶ
χερσὶν	-	-	-	χείρ	-	-	-	n	-	-	χερσὶν
ἅμ	-	-	-	ὅς	-	-	-	p	-	-	ἅμ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἀμφοτέρῃσιν	-	-	-	ἀμφότερος	-	s	-	a	-	-	ἀμφοτέρῃσιν
ἀείρας	-	-	-	ἀείρω	-	s	-	v	-	-	ἀείρας
40ἂψ	-	-	-	ἐάψ	-	s	-	d	-	-	40ἂψ
εἴσω	-	-	-	εἴσω	-	-	-	d	-	-	εἴσω
κίε	-	-	-	κίω	-	s	-	v	-	-	κίε
δῶμα	a	-	-	δῶμα	-	s	-	v	-	-	δῶμα
φέρων	n	-	m	φέρω	-	s	-	v	-	-	φέρων
ἐρατεινὸν	a	-	-	ἐρατεινός	-	s	-	a	-	-	ἐρατεινὸν
ἄθυρμα	-	-	n	ἄθυρμα	-	s	-	a	-	-	ἄθυρμα
.	-	-	-	.	-	-	-	u	-	-	.
ἔνθ	-	-	-	ἔνθα	-	-	-	d	-	-	ἔνθ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἀναπηρώσας	-	-	m	ἀναπηρόω	-	s	-	v	-	-	ἀναπηρώσας
γλυφάνῳ	-	-	m	γλύφανος	-	s	-	n	-	-	γλυφάνῳ
πολιοῖο	g	-	m	πολιός	-	s	-	a	-	-	πολιοῖο
σιδήρου	g	-	m	σίδηρος	-	s	-	n	-	-	σιδήρου
αἰῶν	g	-	m	ἀεί	-	s	-	n	-	-	αἰῶν
᾽	-	-	-	̓ἀ	-	s	-	-	-	-	 ̓
ἐξετόρησεν	-	-	-	ἐκτορέω	-	s	-	v	-	-	ἐξετόρησεν
ὀρεσκῴοιο	-	-	-	ὀρεσκῷος	-	s	-	a	-	-	ὀρεσκῴοιο
χελώνης	g	-	f	χελώνη	-	s	-	n	-	-	χελώνης
.	-	-	-	.	-	-	-	u	-	-	.
ὡς	-	-	-	ὡς	-	-	-	c	-	-	ὡς
δ	-	-	-	δέ	-	-	-	n	-	-	δ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὁπότ	-	-	-	ὁπότε	-	-	-	c	-	-	ὁπότ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὠκὺ	-	-	-	ὠκύς	-	-	-	a	-	-	ὠκὺ
νόημα	-	-	-	νόημα	-	s	-	n	-	-	νόημα
διὰ	-	-	-	διά	-	-	-	r	-	-	διὰ
στέρνοιο	-	-	-	στέρνον	-	s	-	n	-	-	στέρνοιο
περήσῃ	-	-	-	περάω	-	s	-	v	-	-	περήσῃ
ἀνέρος	-	-	-	ἀνήρ	-	s	-	n	-	-	ἀνέρος
,	-	-	-	,	-	-	-	u	-	-	,
ὅν	-	-	-	ὅς	-	s	-	p	-	-	ὅν
τε	-	-	-	τε	-	-	-	d	-	-	τε
θαμειαὶ	-	-	-	θαμειός	-	-	-	a	-	-	θαμειαὶ
ἐπιστρωφῶσι	-	-	-	ἐπιστρωφάω	-	p	-	v	-	-	ἐπιστρωφῶσι
μέριμναι	-	-	-	μέριμνα	-	-	-	n	-	-	μέριμναι
,	-	-	-	,	-	-	-	u	-	-	,
45ἢ	-	-	-		-	-	-	-	-	-	45ἢ
ὅτε	-	-	-	ὅτε	-	-	-	d	-	-	ὅτε
δινηθῶσιν	-	-	-	δινέω	-	p	-	v	-	-	δινηθῶσιν
ἀπ	-	-	-	ἀπό	-	-	-	-	-	-	ἀπ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ὀφθαλμῶν	-	-	-	ὀφθαλμός	-	-	-	n	-	-	ὀφθαλμῶν
ἀμαρυγαί	-	-	-	ἀμαρυγή	-	-	-	n	-	-	ἀμαρυγαί
,	-	-	-	,	-	-	-	u	-	-	,
ὣς	-	-	-	ὥς	-	-	-	d	-	-	ὣς
ἅμ	-	-	-	ὅς	-	-	-	p	-	-	ἅμ
᾽	-	-	-	̓ ̓	-	-	-	-	-	-	 ̓
ἔπος	-	-	-	ἔπος	-	s	-	n	-	-	ἔπος
τε	-	-	-	τε	-	-	-	d	-	-	τε
καὶ	-	-	-	καί	-	-	-	c	-	-	καὶ
ἔργον	-	-	-	ἔργον	-	s	-	n	-	-	ἔργον
ἐμήδετο	-	-	-	μήδομαι	-	s	-	v	-	-	ἐμήδετο
κύδιμος	n	-	m	κύδιμος	-	s	-	a	-	-	κύδιμος
Ἑρμῆς	-	-	m	Ἑρμῆς	-	s	-	n	-	-	Ἑρμῆς
