token	case	degree	gend	lemma	mood	num	pers	pos	tense	voice	treated
ασφάλεια	n	-	f	ἀσφάλεια	-	s	-	a	-	-	ασφάλεια
ελευθερία	n	-	f	ἐλευθερία	-	s	-	n	-	-	ελευθερία
περιουσία	n	-	f	περιουσία	-	s	-	n	-	-	περιουσία
καθαρά	n	-	f	καθαρός	-	s	-	a	-	-	καθαρά
σημαντικός	n	-	f	σημαντικός	-	s	-	a	-	-	σημαντικός
ειρήνη	n	-	f	εἰρήνη	-	s	-	n	-	-	ειρήνη
βελτίωση	n	-	f	βελτιόω	-	s	-	v	-	-	βελτίωση
τύχη	n	-	f	τύχη	-	s	-	n	-	-	τύχη
ακρίβεια	n	-	f	ἀκρίβεια	-	s	-	n	-	-	ακρίβεια
οδηγήσει	n	-	f	ὀδήγησις	-	s	-	n	-	-	οδηγήσει
σταθερά	n	-	f	σταθερός	-	s	-	a	-	-	σταθερά
σωστά	n	-	f	σωστός	-	s	-	n	-	-	σωστά
πληροφορία	n	-	f	πληροφορία	-	s	-	n	-	-	πληροφορία
αίσθηση	n	-	-	αἵσθησος	-	s	-	n	-	-	αίσθηση
νόημα	n	-	f	νόημα	-	s	-	n	-	-	νόημα
βαθιά	n	-	f	βαθιός	-	s	-	a	-	-	βαθιά
εργοστάσιο	n	-	-	ἐργοστάσιος	-	s	-	a	-	-	εργοστάσιο
νικητής	n	-	m	νικητής	-	s	-	n	-	-	νικητής
ήρωας	n	-	m	ἤραος	-	s	-	n	-	-	ήρωας
δημοφιλής	n	-	f	δημοφιλής	-	s	-	a	-	-	δημοφιλής
ενίσχυση	n	-	f	ἐνίσχυσος	-	s	-	n	-	-	ενίσχυση
σαφώς	n	-	f	σαφώς	-	s	-	n	-	-	σαφώς
τροφή	n	-	f	τροφή	-	s	-	n	-	-	τροφή
υποστηρικτές	n	-	f	ὑποστηρικός	-	s	-	a	-	-	υποστηρικτές
ακτινοβολία	n	-	f	ἀκτινοβολία	-	s	-	n	-	-	ακτινοβολία
σύσταση	n	-	f	σύστασος	-	s	-	v	-	-	σύσταση
δάσκαλος	n	-	m	δάσκαλος	-	s	-	n	-	-	δάσκαλος
νικητές	n	-	f	νικητής	-	s	-	a	-	-	νικητές
επιτρέπεται	-	-	-	ἐπιτρέπω	-	s	-	v	-	-	επιτρέπεται
Βραβεία	n	-	f	Βράβειος	-	s	-	a	-	-	Βραβεία
διακρίθηκε	-	-	-	διακρίνω	-	s	-	v	-	-	διακρίθηκε
ταλέντο	-	-	-	τάλλος	-	s	-	v	-	-	ταλέντο
κατανόηση	n	-	-	κατανοέω	-	s	-	v	-	-	κατανόηση
πετύχει	n	-	-	πετύχος	-	s	-	n	-	-	πετύχει
ακριβής	n	-	m	ἀκριβής	-	s	-	a	-	-	ακριβής
κορυφές	n	-	m	κορυφής	-	s	-	n	-	-	κορυφές
θεωρώ	n	-	m	θεωρός	-	s	-	n	-	-	θεωρώ
προσωπικότητα	a	-	f	προσωπικότης	-	s	-	n	-	-	προσωπικότητα
πλεονέκτημα	n	-	f	πλεονέκτημα	-	s	-	n	-	-	πλεονέκτημα
δημιουργός	n	-	m	δημιουργός	-	s	-	n	-	-	δημιουργός
θετικά	n	-	-	θετικός	-	s	-	a	-	-	θετικά
εξίσου	-	-	-	ξίσος	-	s	-	n	-	-	εξίσου
νικώντας	n	-	m	νικάων	-	s	-	v	-	-	νικώντας
πρωτότυπο	-	-	-	πρωτότυπος	-	s	-	n	-	-	πρωτότυπο
ηθική	n	-	f	ἠθικός	-	s	-	a	-	-	ηθική
αρκεί	n	-	-	ἀρκεί	-	s	-	n	-	-	αρκεί
ισορροπία	n	-	f	ἱορροπία	-	s	-	n	-	-	ισορροπία
σωστό	n	-	-	σωστός	-	s	-	v	-	-	σωστό
δωρεάν	n	-	f	δωρεά	-	s	-	n	-	-	δωρεάν
διάσημος	n	-	m	διάσημος	-	s	-	a	-	-	διάσημος
κερδίζει	-	-	-	κερδίζω	-	s	-	v	-	-	κερδίζει
αφιερωμένο	n	-	m	ἀφιοράω	-	s	-	v	-	-	αφιερωμένο
καλύτερος	n	-	m	καλύς	-	s	-	a	-	-	καλύτερος
ελεύθερος	n	-	m	ἐλεύθερος	-	s	-	a	-	-	ελεύθερος
συμφέροντα	n	-	m	συμφέρω	-	s	-	v	-	-	συμφέροντα
θέλω	-	-	-	ἐθέλω	-	s	-	v	-	-	θέλω
διατηρήσει	-	-	-	διατηρέω	-	s	-	v	-	-	διατηρήσει
κεντρικός	n	-	m	κεντρικός	-	s	-	a	-	-	κεντρικός
χαρά	n	-	f	χαρά	-	s	-	n	-	-	χαρά
αξιόλογο	-	-	m	ἀξιόλογος	-	s	-	a	-	-	αξιόλογο
ήττες	n	-	f	ἧσσως	-	s	-	n	-	-	ήττες
μεταρρυθμίσεις	n	-	f	μεταρρύθμισις	-	s	-	n	-	-	μεταρρυθμίσεις
επιτυγχάνεται	-	-	-	ἐπιτυγχάνω	-	s	-	v	-	-	επιτυγχάνεται
επιμέλεια	n	-	f	ἐπιμέλεια	-	s	-	n	-	-	επιμέλεια
πάθος	n	-	n	πάθος	-	s	-	n	-	-	πάθος
άγιος	n	-	f	ἄγιος	-	s	-	n	-	-	άγιος
κέρδη	n	-	f	κέρδη	-	s	-	n	-	-	κέρδη
ομορφιά	n	-	f	ὀμορφιά	-	s	-	n	-	-	ομορφιά
εντολών	n	-	f	ἐντολή	-	s	-	n	-	-	εντολών
αρέσει	n	-	-	ἄρεσις	-	s	-	n	-	-	αρέσει
ολοκληρώσει	n	-	f	ὀλοκληρόω	-	s	-	n	-	-	ολοκληρώσει
καλός	n	-	m	καλός	-	s	-	n	-	-	καλός
έγκριση	n	-	f	ἐγκρίζω	-	s	-	a	-	-	έγκριση
θείος	n	-	m	θεῖος	-	s	-	a	-	-	θείος
όφελος	n	-	m	ὄφελος	-	s	-	n	-	-	όφελος
φαντασία	n	-	f	φαντασίασις	-	s	-	n	-	-	φαντασία
δώρο	n	-	m	δῶρον	-	s	-	n	-	-	δώρο
όμορφη	n	-	f	ὄμορφος	-	s	-	n	-	-	όμορφη
σύγχρονος	n	-	f	σύγχρων	-	s	-	a	-	-	σύγχρονος
τρόπαιο	n	-	f	τρόπαιον	-	s	-	n	-	-	τρόπαιο
σπορ	n	-	f	σπορέπλη	-	s	-	n	-	-	σπορ
εμπιστοσύνη	n	-	f	ἐμιστοσύνη	-	s	-	n	-	-	εμπιστοσύνη
ανάγλυφο	n	-	f	ἀάγλυφος	-	s	-	n	-	-	ανάγλυφο
σύμβαση	n	-	f	συμβάζομαι	-	s	-	n	-	-	σύμβαση
ανατολή	n	-	f	ἀνατολή	-	s	-	n	-	-	ανατολή
κύρος	n	-	m	κύρος	-	s	-	n	-	-	κύρος
νικήτρια	n	-	f	νικήτριος	-	s	-	a	-	-	νικήτρια
ξεπεράσει	n	-	f	ἐξεπέρασις	-	s	-	n	-	-	ξεπεράσει
κυριαρχεί	n	-	-	κυριαρχής	-	s	-	a	-	-	κυριαρχεί
ικανός	n	-	m	ἰκανός	-	s	-	n	-	-	ικανός
χρυσός	n	-	m	χρυσός	-	s	-	n	-	-	χρυσός
επίσημος	n	-	m	ἐπίσημος	-	s	-	n	-	-	επίσημος
εντυπωσιακό	n	-	-	ἐντυπωσιακός	-	s	-	a	-	-	εντυπωσιακό
πραγματικός	n	-	m	πραγματικός	-	s	-	a	-	-	πραγματικός
εγκρίθηκε	n	-	-	ἐγκρίνω	-	s	-	n	-	-	εγκρίθηκε
αρχηγία	n	-	f	ἀρχηγία	-	s	-	n	-	-	αρχηγία
αποτελεσματικά	n	-	-	ἀποτελεσματικός	-	s	-	a	-	-	αποτελεσματικά
ωραία	n	-	f	ωραία	-	s	-	a	-	-	ωραία
ξεπέρασε	n	-	-	ἐκπεράω	-	s	-	v	-	-	ξεπέρασε
μεταρρύθμιση	n	-	f	μεταρρύθμισις	-	s	-	v	-	-	μεταρρύθμιση
παράταση	n	-	-	παράτασος	-	s	-	n	-	-	παράταση
οδηγία	n	-	f	ὀδηγία	-	s	-	n	-	-	οδηγία
πιστός	n	-	m	πιστός	-	s	-	n	-	-	πιστός
υπεροχή	n	-	f	ὑπεροχή	-	s	-	n	-	-	υπεροχή
φιλικά	n	-	f	φιλικός	-	s	-	n	-	-	φιλικά
στερεό	n	-	f	στερεός	-	s	-	n	-	-	στερεό
έκπληξη	n	-	-	ἔκπληξις	-	s	-	n	-	-	έκπληξη
βελτιώσεις	n	-	f	βελτίων	-	s	-	n	-	-	βελτιώσεις
πλεονεκτήματα	n	-	f	πλεονέκτημα	-	s	-	n	-	-	πλεονεκτήματα
επιτυχώς	n	-	m	ἐπιτυγχάω	-	s	-	n	-	-	επιτυχώς
αέρας	n	-	f	ἀείραος	-	s	-	n	-	-	αέρας
υποστηρικτής	n	-	m	ὑποστηρικός	-	s	-	n	-	-	υποστηρικτής
απλός	n	-	f	ἀπλός	-	s	-	n	-	-	απλός
τακτικός	n	-	f	τακτικός	-	s	-	a	-	-	τακτικός
δόξα	n	-	f	δόξα	-	s	-	n	-	-	δόξα
ανακαλύψεις	n	-	f	ἀνακάλυψις	-	s	-	n	-	-	ανακαλύψεις
αξιοπιστία	n	-	f	ἀξιοπιστία	-	s	-	n	-	-	αξιοπιστία
σταθερότητα	n	-	f	σταθερότης	-	s	-	n	-	-	σταθερότητα
ευκολία	n	-	f	εὐκολία	-	s	-	n	-	-	ευκολία
δικαιοσύνη	n	-	f	δικαιοσύνη	-	s	-	n	-	-	δικαιοσύνη
ουράνια	n	-	f	οὐράνιος	-	s	-	a	-	-	ουράνια
θέληση	n	-	f	ἐθέλων	-	s	-	n	-	-	θέληση
μαγεία	n	-	f	μαγεῖος	-	s	-	a	-	-	μαγεία
αρμονία	n	-	f	ἀρμονία	-	s	-	n	-	-	αρμονία
έμπνευση	n	-	f	ἐμπνέω	-	s	-	v	-	-	έμπνευση
σαφής	n	-	f	σαφής	-	s	-	a	-	-	σαφής
ώθηση	n	-	f	ὠθέω	-	s	-	v	-	-	ώθηση
αξιοσημείωτη	n	-	f	ἀξιοσημείων	-	s	-	a	-	-	αξιοσημείωτη
έτοιμος	n	-	m	ἐτοῖμος	-	s	-	a	-	-	έτοιμος
ουσιαστικό	n	-	-	οὐσιαστικός	-	s	-	v	-	-	ουσιαστικό
μόδας	n	-	m	μόδης	-	s	-	a	-	-	μόδας
ήθη	n	-	f	ἧμαι	-	s	-	v	-	-	ήθη
προβολής	n	-	f	προβολή	-	s	-	n	-	-	προβολής
αγαπημένη	n	-	f	ἀγαπάω	-	s	-	v	-	-	αγαπημένη
ταχεία	n	-	f	ταχύς	-	s	-	a	-	-	ταχεία
υποσχέθηκε	n	-	-	ὑποσχέω	-	s	-	v	-	-	υποσχέθηκε
ιδανικό	n	-	-	ἰδανικός	-	s	-	v	-	-	ιδανικό
αποτελεσματικότητα	a	-	f	ἀποτελεσματικότης	-	s	-	n	-	-	αποτελεσματικότητα
εύνοια	n	-	f	εὔνοια	-	s	-	n	-	-	εύνοια
ενθουσιασμό	n	-	f	ἐνουσιασμός	-	s	-	v	-	-	ενθουσιασμό
τέλεια	n	-	f	τέλειος	-	s	-	a	-	-	τέλεια
αποδεικνύει	n	-	-	ἀποδείκνυμι	-	s	-	v	-	-	αποδεικνύει
κυριαρχούν	n	-	f	κυριαρχός	-	s	-	n	-	-	κυριαρχούν
θαύμα	n	-	f	θαύμα	-	s	-	n	-	-	θαύμα
ευημερία	n	-	f	εὐμερία	-	s	-	n	-	-	ευημερία
ισχυρός	n	-	m	ἰσχυρός	-	s	-	a	-	-	ισχυρός
θάρρος	n	-	f	θάρρος	-	s	-	n	-	-	θάρρος
σπουδαίος	n	-	m	σπουδαῖος	-	s	-	a	-	-	σπουδαίος
πλούσιος	n	-	m	πλούσιος	-	s	-	a	-	-	πλούσιος
υπερβαίνει	n	-	-	ὑπερβαίνω	-	s	-	v	-	-	υπερβαίνει
σύμφωνο	n	-	f	σύμφωνος	-	s	-	a	-	-	σύμφωνο
ερωμένη	n	-	f	ἐρώμενος	-	s	-	n	-	-	ερωμένη
γραφικά	n	-	f	γραφικός	-	s	-	a	-	-	γραφικά
έπαθλο	n	-	-		-	s	-	n	-	-	έπαθλο
υπόσχεση	n	-	f	ὑπόσχεσος	-	s	-	n	-	-	υπόσχεση
προτροπή	n	-	f	προτροπή	-	s	-	n	-	-	προτροπή
εγκαίνια	n	-	f	ἐγκαίνιος	-	s	-	n	-	-	εγκαίνια
κίνητρα	n	-	f	κίνητρον	-	s	-	n	-	-	κίνητρα
επιτεύγματα	n	-	f	ἐπίτευγμα	-	s	-	n	-	-	επιτεύγματα
διόρθωση	n	-	-	διορθόω	-	s	-	v	-	-	διόρθωση
καινοτομία	n	-	f	καινοτομία	-	s	-	n	-	-	καινοτομία
θερμά	n	-	f	θερμάς	-	s	-	a	-	-	θερμά
συγγένεια	n	-	f	συγγένεια	-	s	-	n	-	-	συγγένεια
ευχαριστώ	n	-	f	εὐχαριστέω	-	s	-	a	-	-	ευχαριστώ
πρόβλεψη	n	-	-	προβλέπω	-	s	-	v	-	-	πρόβλεψη
επιβίωση	n	-	-	ἐπιβιόω	-	s	-	v	-	-	επιβίωση
οφέλη	n	-	f	ὀφέλη	-	s	-	n	-	-	οφέλη
επιμονή	n	-	f	ἐπιμονή	-	s	-	n	-	-	επιμονή
ασφαλώς	n	-	m	ἀσφάλλω	-	s	-	v	-	-	ασφαλώς
χιούμορ	n	-	f	χιούμορος	-	s	-	a	-	-	χιούμορ
ανώτερος	n	-	f	ἀνώτερος	-	s	-	a	-	-	ανώτερος
άνθηση	n	-	f	ἀνθέω	-	s	-	n	-	-	άνθηση
κέρδος	n	-	n	κέρδος	-	s	-	n	-	-	κέρδος
εντυπωσιακά	n	-	f	ἐντυπωσιακός	-	s	-	a	-	-	εντυπωσιακά
ομαλή	n	-	f	ὁμαλής	-	s	-	a	-	-	ομαλή
χρήσιμες	n	-	f	χρήσιμος	-	s	-	a	-	-	χρήσιμες
προνόμιο	n	-	m	πρόνομος	-	s	-	v	-	-	προνόμιο
θεολόγος	n	-	m	θεολόγος	-	s	-	a	-	-	θεολόγος
διευκολύνει	n	-	-	διευκολύνης	-	s	-	v	-	-	διευκολύνει
επιτυχής	n	-	f	ἐπιτυχής	-	s	-	a	-	-	επιτυχής
αισθήσεις	n	-	f	αἴσθησις	-	s	-	v	-	-	αισθήσεις
εξασφαλίζοντας	n	-	m	ἐξασφαλίζω	-	s	-	v	-	a	εξασφαλίζοντας
καταλαβαίνω	n	-	-	καταλαβαίνω	-	s	-	v	-	-	καταλαβαίνω
ισχυρότερη	n	-	f	ἱχυρός	-	s	-	a	-	-	ισχυρότερη
απορρόφηση	n	-	f	ἀπορροφέω	-	s	-	v	-	-	απορρόφηση
άριστα	n	-	f	ἄριστος	-	s	-	n	-	-	άριστα
άνεση	n	-	f	ἀνίημα	-	s	-	n	-	-	άνεση
σοφία	n	-	f	σοφία	-	s	-	n	-	-	σοφία
φήμης	n	-	f	φήμη	-	s	-	n	-	-	φήμης
ικανοποίηση	n	-	f	ἰκανοποιέω	-	s	-	v	-	-	ικανοποίηση
ενδιαφέρουσα	n	-	f	ἐνδιαφέρω	-	s	-	v	-	-	ενδιαφέρουσα
επαρκώς	n	-	m	παραρκώσκως	-	s	-	v	-	-	επαρκώς
έτοιμη	n	-	f	τοῖμος	-	s	-	v	-	-	έτοιμη
αναβίωση	n	-	-	ἀναβιόω	-	s	-	v	-	-	αναβίωση
μυθικός	n	-	m	μυθικός	-	s	-	a	-	-	μυθικός
ασυνήθιστο	n	-	-	ἀσυθίζω	-	s	-	v	-	-	ασυνήθιστο
ανάκτηση	n	-	-	ἀνακτέω	-	s	-	n	-	-	ανάκτηση
τίμησε	n	-	-	τιμέω	-	s	-	v	-	-	τίμησε
έλξη	n	-	-	ἔλκος	-	s	-	n	-	-	έλξη
ευεργέτης	n	-	m	εὐεργέτης	-	s	-	n	-	-	ευεργέτης
ζωντανός	n	-	m	ζωντανός	-	s	-	a	-	-	ζωντανός
επίτευγμα	n	-	-	ἐπίτευγμα	-	s	-	n	-	-	επίτευγμα
ασφαλής	n	-	m	ἀσφαλής	-	s	-	a	-	-	ασφαλής
καλώς	n	-	m	καλώς	-	s	-	n	-	-	καλώς
like	n	-	-		-	s	-	a	-	-	like
ανταποκρίνεται	n	-	-	ἀνταποκρίνομαι	-	s	-	v	-	-	ανταποκρίνεται
ηρωίδα	n	-	f	ἡρωιδός	-	s	-	n	-	-	ηρωίδα
αναγέννηση	n	-	m	ἀναγεννέων	-	s	-	n	-	-	αναγέννηση
αυτόνομες	n	-	m	αὐτόνομος	-	s	-	n	-	-	αυτόνομες
ανώτατος	n	-	m	ἀνώτατος	-	s	-	a	-	-	ανώτατος
βελτιωθεί	n	-	-	βελτιώθης	-	s	-	a	-	-	βελτιωθεί
καπετάνιος	n	-	m	καπετάνιος	-	s	-	a	-	-	καπετάνιος
έκκληση	n	-	-	ἐκκαίω	-	s	-	n	-	-	έκκληση
πρόοδος	n	-	f	πρόοδος	-	s	-	n	-	-	πρόοδος
λαμπρότητα	n	-	f	λαμπρότης	-	s	-	n	-	-	λαμπρότητα
συνοχή	n	-	f	συνοχή	-	s	-	n	-	-	συνοχή
έρωτας	n	-	m	ἔρως	-	s	-	n	-	-	έρωτας
φιλοδοξίες	n	-	m	φιλοδοξία	-	s	-	a	-	-	φιλοδοξίες
όμορφα	n	-	f	ὄμορφος	-	s	-	n	-	-	όμορφα
ευγενής	n	-	m	εὐγενής	-	s	-	a	-	-	ευγενής
περίφημος	n	-	m	περίφημος	-	s	-	a	-	-	περίφημος
επιπλοκές	n	-	m	ἐπιπλοκής	-	s	-	a	-	-	επιπλοκές
οικονομικός	n	-	m	οἰκονομικός	-	s	-	a	-	-	οικονομικός
πιστά	n	-	f	πιστός	-	s	-	a	-	-	πιστά
λάμψη	n	-	-	λάμψη	-	s	-	n	-	-	λάμψη
ειρηνικά	n	-	n	εἰρηνικός	-	s	-	a	-	-	ειρηνικά
σταθερός	n	-	m	σταθερός	-	s	-	a	-	-	σταθερός
πλούτος	n	-	m	πλοῦτος	-	s	-	n	-	-	πλούτος
κύρους	n	-	m	κῦρος	-	s	-	n	-	-	κύρους
ικανοποιητικά	n	-	-	ἰκανοποιητίκης	-	s	-	a	-	-	ικανοποιητικά
εφικτό	n	-	-	φικτός	-	s	-	n	-	-	εφικτό
απλούστερη	n	-	f	ἀπλόος	-	s	-	a	-	-	απλούστερη
ικανοποιεί	n	-	f	ἰκανοποιέω	-	s	-	a	-	-	ικανοποιεί
θαύματα	n	-	f	θαῦμα	-	s	-	n	-	-	θαύματα
ευτυχία	n	-	f	εὐτυχία	-	s	-	n	-	-	ευτυχία
ανδρεία	n	-	f	ἀνδρεία	-	s	-	a	-	-	ανδρεία
κεραία	n	-	f	κεραῖος	-	s	-	a	-	-	κεραία
επιβεβαίωση	n	-	f	ἐπιβαιόω	-	s	-	v	-	-	επιβεβαίωση
αφθονία	n	-	f	ἀφθονία	-	s	-	a	-	-	αφθονία
αφοσίωση	n	-	f	ἀφοσιόω	-	s	-	v	-	-	αφοσίωση
σαφήνεια	n	-	f	σαφήνειον	-	s	-	n	-	-	σαφήνεια
ενισχύει	n	-	f	ἐνισχύω	-	s	-	v	-	-	ενισχύει
αρετή	n	-	f	ἀρετή	-	s	-	a	-	-	αρετή
ελευθερίες	n	-	f	ἐλευθερία	-	s	-	a	-	-	ελευθερίες
άφθονα	n	-	f	ἄφθονος	-	s	-	n	-	-	άφθονα
εξαγορά	n	-	f	ἐξαγορά	-	s	-	a	-	-	εξαγορά
άριστη	n	-	f	ἄριστος	-	s	-	a	-	-	άριστη
συμπάθεια	n	-	f	συμπάθεια	-	s	-	n	-	-	συμπάθεια
ηρεμία	n	-	f	ἡρεμία	-	s	-	n	-	-	ηρεμία
βασιλικός	n	-	m	βασιλικός	-	s	-	a	-	-	βασιλικός
αναγνωρισμένη	n	-	f	ἀναγιγίζομαι	-	s	-	v	-	-	αναγνωρισμένη
ταχύτερα	n	-	f	ταχύτερος	-	s	-	a	-	-	ταχύτερα
ολόκληρος	n	-	m	ὀλόκληρος	-	s	-	a	-	-	ολόκληρος
αναμφίβολα	n	-	f	ἀναμφίβολος	-	s	-	a	-	-	αναμφίβολα
ιδανικά	n	-	f	ἰδανικός	-	s	-	a	-	-	ιδανικά
συμπληρώνει	n	-	-	συμπληρονέω	-	s	-	v	-	-	συμπληρώνει
εγγύηση	n	-	-	ἐγγύειος	-	s	-	v	-	-	εγγύηση
δέσμευση	n	-	-	δεσμεύω	-	s	-	v	-	-	δέσμευση
αγαπούσε	n	-	-	ἀγαπούω	-	s	-	v	-	-	αγαπούσε
έφεση	n	-	-	φίσος	-	s	-	v	-	-	έφεση
εμμονή	n	-	f	ἐμμονή	-	s	-	a	-	-	εμμονή
πλοίαρχος	n	-	f	πλοίαρχος	-	s	-	n	-	-	πλοίαρχος
ανταμοιβή	n	-	f	ἀνταμοιβή	-	s	-	n	-	-	ανταμοιβή
είδωλο	n	-	f	εἴδωλος	-	s	-	v	-	-	είδωλο
αγαπά	n	-	f	ἀγαπάω	-	s	-	a	-	-	αγαπά
